dimension,workers,label,engine_a_ms,total_server_ms,total_client_ms,wkd_delegation_ms,client_empty_check_ms
2D,0,Our Scheme,240.43,2752.06,242.39,236.91,239.7704
2D,10,10,44.63,2449.61,36.37,41.38,33.8755
2D,16,16,39.58,2452.16,34.67,36.08,32.3231
2D,20,20,37.33,2415.28,38.15,33.88,35.6866
2D,30,30,39.64,2446.24,38.35,36.30,35.9360
2D,50,50,40.12,2456.86,35.26,36.62,32.8685
2D,100,100,41.52,2424.67,37.39,37.95,34.9889
3D,0,Our Scheme,79311.51,81267.66,1665.09,69137.38,1662.6058
3D,10,10,20935.65,22849.92,238.53,10930.82,235.9964
3D,16,16,18198.23,20106.66,162.55,8188.17,160.1295
3D,20,20,17438.86,19372.09,158.99,7439.06,155.5564
3D,30,30,17654.56,19629.98,153.14,7598.38,150.4932
3D,50,50,17499.61,19419.48,152.17,7420.57,149.7147
3D,100,100,17402.93,19301.38,177.33,7453.59,174.8891
